id,observed_on,time_observed_at,quality_grade,latitude,longitude,geoprivacy,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name
900079,9/27/14,2014-09-27 19:21:08 UTC,research,35.999256,-78.910161,,Solenopsis invicta,Red Imported Fire Ant,Insecta,67598,Animalia,Arthropoda,Insecta
907806,10/3/14,2014-10-03 13:00:57 UTC,research,36.0299195,-78.8584133333,,Ipomoea purpurea,common morning-glory,Plantae,52344,Plantae,Tracheophyta,Magnoliopsida
1022174,10/15/14,2014-10-15 22:31:19 UTC,research,36.0032611167,-78.8941883333,,Buteo lineatus,Red-shouldered Hawk,Aves,5206,Animalia,Chordata,Aves
1169195,1/7/15,2015-01-07 16:47:59 UTC,research,36.003047,-78.901608,,Lamium amplexicaule,henbit deadnettle,Plantae,55459,Plantae,Tracheophyta,Magnoliopsida
1251169,2/22/15,2015-02-22 13:48:30 UTC,research,36.010934,-78.902843,,Scolopax minor,American Woodcock,Aves,3936,Animalia,Chordata,Aves
1287566,3/9/15,2015-03-09 16:34:00 UTC,research,36.001915,-78.90177,,Buteo lineatus,Red-shouldered Hawk,Aves,5206,Animalia,Chordata,Aves
1402731,4/17/15,2015-04-17 17:01:16 UTC,research,36.028009,-78.973576,,Arnica acaulis,Leopard's-bane,Plantae,82235,Plantae,Tracheophyta,Magnoliopsida
1428850,4/22/15,2015-04-22 23:38:58 UTC,research,36.003361,-78.894278,,Bignonia capreolata,cross vine,Plantae,67823,Plantae,Tracheophyta,Magnoliopsida
1584865,5/27/15,2015-05-27 14:26:32 UTC,research,36.0201945,-78.882745,,Storeria dekayi,Dekay's Brownsnake,Reptilia,28562,Animalia,Chordata,Reptilia
1610600,6/9/15,,research,36.006453,-78.859863,,Oxidus gracilis,Greenhouse Millipede,Animalia,143390,Animalia,Arthropoda,Diplopoda
1638280,6/16/15,2015-06-16 12:26:05 UTC,research,36.012387,-78.902997,,Graphocephala coccinea,Red-banded Leafhopper,Insecta,56925,Animalia,Arthropoda,Insecta
1733384,7/7/15,,research,36.013561,-78.903809,,Paulownia tomentosa,princess tree,Plantae,119792,Plantae,Tracheophyta,Magnoliopsida
1748824,7/11/15,2015-07-11 13:03:15 UTC,research,36.001796,-78.901525,,Helenium amarum,Bitterweed,Plantae,77348,Plantae,Tracheophyta,Magnoliopsida
1946996,9/14/15,2015-09-14 22:11:43 UTC,research,36.0019373,-78.9014423,,Cynodon dactylon,Bermuda grass,Plantae,58371,Plantae,Tracheophyta,Liliopsida
1946997,9/14/15,2015-09-14 22:14:15 UTC,research,36.0019291,-78.9014873,,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,Plantae,Tracheophyta,Magnoliopsida
1946998,9/14/15,2015-09-14 22:16:33 UTC,research,36.0019358,-78.9016123,,Phytolacca americana,American pokeweed,Plantae,48599,Plantae,Tracheophyta,Magnoliopsida
1946999,9/14/15,2015-09-14 22:19:27 UTC,research,36.0018421,-78.9014199,,Paulownia tomentosa,princess tree,Plantae,119792,Plantae,Tracheophyta,Magnoliopsida
1947000,9/14/15,2015-09-14 22:23:17 UTC,research,36.0018531,-78.9015446,,Sorghum halepense,Johnson grass,Plantae,58387,Plantae,Tracheophyta,Liliopsida
1949251,8/25/13,2013-08-25 16:36:41 UTC,research,36.013,-78.9235,,Nadata gibbosa,White-dotted Prominent,Insecta,82204,Animalia,Arthropoda,Insecta
1976647,9/23/15,2015-09-23 14:26:59 UTC,research,36.002101,-78.901825,,Scolia dubia,Blue-winged Scoliid Wasp,Insecta,1129479,Animalia,Arthropoda,Insecta
2086580,10/8/15,2015-10-08 14:18:06 UTC,research,36.00212909,-78.90176086,,Aedes albopictus,Asian Tiger Mosquito,Insecta,62984,Animalia,Arthropoda,Insecta
2348290,11/4/15,2015-11-04 17:55:01 UTC,research,36.00203752,-78.90170446,,Setophaga coronata,Yellow-rumped Warbler,Aves,145245,Animalia,Chordata,Aves
2586711,9/1/15,,research,36.008,-78.915,,Speyeria cybele,Great Spangled Fritillary,Insecta,47980,Animalia,Arthropoda,Insecta
2586780,11/7/15,,research,36.008,-78.915,,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017,Animalia,Chordata,Mammalia
2633947,1/31/16,2016-01-31 19:21:30 UTC,research,36.02360063,-78.92766693,,Asimina triloba,common pawpaw,Plantae,50897,Plantae,Tracheophyta,Magnoliopsida
2635031,1/24/16,2016-01-24 21:05:25 UTC,research,36.0085222167,-78.914995,,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017,Animalia,Chordata,Mammalia
2703913,8/29/15,,research,36.065385,-78.805593,,Charadrius vociferus,Killdeer,Aves,4793,Animalia,Chordata,Aves
2703915,8/29/15,,research,36.065385,-78.805593,,Tringa flavipes,Lesser Yellowlegs,Aves,3893,Animalia,Chordata,Aves
2703917,8/29/15,,research,36.065385,-78.805593,,Calidris melanotos,Pectoral Sandpiper,Aves,3865,Animalia,Chordata,Aves
2703919,8/29/15,,research,36.065385,-78.805593,,Calidris pusilla,Semipalmated Sandpiper,Aves,3862,Animalia,Chordata,Aves
2740434,3/3/16,2016-03-03 15:58:32 UTC,research,36.0046901275,-78.9015333262,,Alsophila pometaria,Fall Cankerworm Moth,Insecta,215208,Animalia,Arthropoda,Insecta
2745418,5/24/12,2012-05-25 02:00:12 UTC,research,36.012062,-78.8979,,Thryothorus ludovicianus,Carolina Wren,Aves,7513,Animalia,Chordata,Aves
2745441,8/10/13,2013-08-11 03:03:29 UTC,research,36.012062,-78.8979,,Papilio polyxenes asterius,Eastern Black Swallowtail,Insecta,54900,Animalia,Arthropoda,Insecta
2745446,8/10/13,2013-08-11 03:03:29 UTC,research,36.012062,-78.8979,,Papilio polyxenes asterius,Eastern Black Swallowtail,Insecta,54900,Animalia,Arthropoda,Insecta
2745488,3/18/12,2012-03-18 16:07:04 UTC,research,36.012062,-78.8979,,Haldea striatula,Rough Earthsnake,Reptilia,539765,Animalia,Chordata,Reptilia
2939712,4/15/16,2016-04-15 15:17:34 UTC,research,36.0087179672,-78.9233628196,,Viola sororia,common blue violet,Plantae,82816,Plantae,Tracheophyta,Magnoliopsida
2958261,4/14/16,2016-04-14 20:31:58 UTC,research,36.0087583333,-78.9194033333,,Cupido comyntas,Eastern Tailed-Blue,Insecta,122381,Animalia,Arthropoda,Insecta
2977881,4/19/16,2016-04-19 23:45:02 UTC,research,36.0151331,-78.91849278,,Cardinalis cardinalis,Northern Cardinal,Aves,9083,Animalia,Chordata,Aves
3019705,4/24/16,2016-04-24 11:11:17 UTC,research,36.008893,-78.9152544,,Sylvilagus floridanus,Eastern Cottontail,Mammalia,43111,Animalia,Chordata,Mammalia
3019710,4/24/16,2016-04-24 11:13:52 UTC,research,36.00867694,-78.91566278,,Trifolium repens,white clover,Plantae,55745,Plantae,Tracheophyta,Magnoliopsida
3019749,4/24/16,2016-04-24 11:29:31 UTC,research,36.0087481,-78.9141493,,Rhododendron mucronatum,White Azalea,Plantae,431273,Plantae,Tracheophyta,Magnoliopsida
3019819,4/24/16,2016-04-24 11:54:01 UTC,research,36.0072788599,-78.9150215685,,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017,Animalia,Chordata,Mammalia
3022110,4/19/16,2016-04-19 23:42:16 UTC,research,36.0135662277,-78.92326165,,Poecile carolinensis,Carolina Chickadee,Aves,144814,Animalia,Chordata,Aves
3452070,6/13/16,2016-06-13 21:56:09 UTC,research,36.0224012565,-78.8971626666,,Liquidambar styraciflua,American sweetgum,Plantae,49658,Plantae,Tracheophyta,Magnoliopsida
3452121,6/13/16,2016-06-13 22:02:00 UTC,research,36.0205418151,-78.8967863192,,Cercis canadensis,eastern redbud,Plantae,48502,Plantae,Tracheophyta,Magnoliopsida
3453361,6/8/16,2016-06-08 21:59:00 UTC,research,36.0055333333,-78.9082444444,,Quercus phellos,willow oak,Plantae,119983,Plantae,Tracheophyta,Magnoliopsida
3492758,6/20/16,2016-06-20 23:56:20 UTC,research,36.025947514,-78.89701196,,Phytolacca americana,American pokeweed,Plantae,48599,Plantae,Tracheophyta,Magnoliopsida
3492994,6/20/16,2016-06-21 00:21:56 UTC,research,36.0220605322,-78.8974137884,,Verbesina occidentalis,Yellow Crownbeard,Plantae,136384,Plantae,Tracheophyta,Magnoliopsida
3493055,6/20/16,2016-06-21 00:33:10 UTC,research,36.0191599327,-78.8952374273,,Alaus oculatus,Eastern Eyed Click Beetle,Insecta,81706,Animalia,Arthropoda,Insecta
3493072,6/20/16,2016-06-21 00:34:47 UTC,research,36.0197443189,-78.8942981512,,Lunaria annua,Annual Honesty,Plantae,55886,Plantae,Tracheophyta,Magnoliopsida
3493091,6/20/16,2016-06-21 00:39:27 UTC,research,36.0200017272,-78.8926795219,,Ambrosia artemisiifolia,common ragweed,Plantae,53587,Plantae,Tracheophyta,Magnoliopsida
3511131,6/23/16,2016-06-23 23:21:20 UTC,research,36.0257658782,-78.8957280201,,Liquidambar styraciflua,American sweetgum,Plantae,49658,Plantae,Tracheophyta,Magnoliopsida
3521832,6/25/16,2016-06-25 23:20:19 UTC,research,36.0203332734,-78.8958789781,,Saururus cernuus,lizard's tail,Plantae,60742,Plantae,Tracheophyta,Magnoliopsida
3521866,6/25/16,2016-06-25 23:25:54 UTC,research,36.0220600712,-78.8958161139,,Glechoma hederacea,ground-ivy,Plantae,55830,Plantae,Tracheophyta,Magnoliopsida
3528332,6/26/16,2016-06-26 15:50:21 UTC,research,36.0843956145,-78.8226047159,,Smilax rotundifolia,roundleaf greenbrier,Plantae,60746,Plantae,Tracheophyta,Liliopsida
3528353,6/26/16,2016-06-26 15:55:24 UTC,research,36.0843648948,-78.8221791667,,Acer rubrum,red maple,Plantae,48098,Plantae,Tracheophyta,Magnoliopsida
3528442,6/26/16,2016-06-26 16:09:55 UTC,research,36.0847001709,-78.8216378634,,Ilex opaca,American holly,Plantae,60749,Plantae,Tracheophyta,Magnoliopsida
3528452,6/26/16,2016-06-26 16:10:42 UTC,research,36.0847337405,-78.8213917707,,Liquidambar styraciflua,American sweetgum,Plantae,49658,Plantae,Tracheophyta,Magnoliopsida
3528463,6/26/16,2016-06-26 16:11:46 UTC,research,36.0845553317,-78.8213618473,,Liriodendron tulipifera,tulip tree,Plantae,53582,Plantae,Tracheophyta,Magnoliopsida
3528486,6/26/16,2016-06-26 16:15:00 UTC,research,36.0847548209,-78.8207498845,,Quercus marilandica,blackjack oak,Plantae,82329,Plantae,Tracheophyta,Magnoliopsida
3528492,6/26/16,2016-06-26 16:15:51 UTC,research,36.0847042781,-78.8208181971,,Acer negundo,boxelder,Plantae,47726,Plantae,Tracheophyta,Magnoliopsida
3528506,6/26/16,2016-06-26 16:17:39 UTC,research,36.0847799247,-78.8206322026,,Campsis radicans,American trumpet vine,Plantae,75995,Plantae,Tracheophyta,Magnoliopsida
3528553,6/26/16,2016-06-26 16:23:26 UTC,research,36.0847824393,-78.8204367366,,Saururus cernuus,lizard's tail,Plantae,60742,Plantae,Tracheophyta,Magnoliopsida
3528568,6/26/16,2016-06-26 16:26:41 UTC,research,36.0847523902,-78.8203822543,,Ligustrum sinense,Chinese privet,Plantae,128769,Plantae,Tracheophyta,Magnoliopsida
3528589,6/26/16,2016-06-26 16:32:38 UTC,research,36.0846021865,-78.8197301422,,Bignonia capreolata,cross vine,Plantae,67823,Plantae,Tracheophyta,Magnoliopsida
3528591,6/26/16,2016-06-26 17:27:29 UTC,research,36.0760319,-78.8102238067,,Asimina triloba,common pawpaw,Plantae,50897,Plantae,Tracheophyta,Magnoliopsida
3535033,6/27/16,2016-06-27 21:44:27 UTC,research,36.0223149229,-78.8961868455,,Cephalanthus occidentalis,buttonbush,Plantae,52763,Plantae,Tracheophyta,Magnoliopsida
3535047,6/27/16,2016-06-27 21:50:57 UTC,research,36.0213496629,-78.8954926562,,Impatiens capensis,common jewelweed,Plantae,47888,Plantae,Tracheophyta,Magnoliopsida
3535117,6/27/16,2016-06-27 22:02:55 UTC,research,36.0213425383,-78.8967117202,,Microstegium vimineum,Japanese stiltgrass,Plantae,116710,Plantae,Tracheophyta,Liliopsida
3541193,6/28/16,2016-06-28 22:06:45 UTC,research,36.0064604273,-78.9029271529,,Nandina domestica,Heavenly bamboo,Plantae,127010,Plantae,Tracheophyta,Magnoliopsida
3541197,6/28/16,2016-06-28 22:08:58 UTC,research,36.0066193482,-78.9028930385,,Elaeagnus umbellata,autumn olive,Plantae,64697,Plantae,Tracheophyta,Magnoliopsida
3541203,6/28/16,2016-06-28 22:11:17 UTC,research,36.0075551458,-78.9031803702,,Sorghum halepense,Johnson grass,Plantae,58387,Plantae,Tracheophyta,Liliopsida
3541277,6/28/16,2016-06-28 22:19:00 UTC,research,36.0088580707,-78.903362006,,Diodia virginiana,buttonweed,Plantae,131003,Plantae,Tracheophyta,Magnoliopsida
3541284,6/28/16,2016-06-28 22:21:00 UTC,research,36.0097610532,-78.903066963,,Ligustrum sinense,Chinese privet,Plantae,128769,Plantae,Tracheophyta,Magnoliopsida
3541288,6/28/16,2016-06-28 22:23:12 UTC,research,36.0108742956,-78.9026275837,,Impatiens capensis,common jewelweed,Plantae,47888,Plantae,Tracheophyta,Magnoliopsida
3541297,6/28/16,2016-06-28 22:25:13 UTC,research,36.0113407066,-78.9023485501,,Acer negundo,boxelder,Plantae,47726,Plantae,Tracheophyta,Magnoliopsida
3541303,6/28/16,2016-06-28 22:26:12 UTC,research,36.0114958138,-78.9023771324,,Microstegium vimineum,Japanese stiltgrass,Plantae,116710,Plantae,Tracheophyta,Liliopsida
3541351,6/28/16,2016-06-28 22:33:33 UTC,research,36.0129597131,-78.9019338135,,Solanum carolinense,Carolina horsenettle,Plantae,52899,Plantae,Tracheophyta,Magnoliopsida
3541356,6/28/16,2016-06-28 22:34:59 UTC,research,36.0134702968,-78.9017701988,,Toxicodendron radicans,poison ivy,Plantae,58732,Plantae,Tracheophyta,Magnoliopsida
3541370,6/28/16,2016-06-28 22:41:03 UTC,research,36.0149608925,-78.9008913562,,Hedera helix,common ivy,Plantae,55882,Plantae,Tracheophyta,Magnoliopsida
3541376,6/28/16,2016-06-28 22:42:33 UTC,research,36.0157084326,-78.9003881906,,Morus alba,white mulberry,Plantae,56090,Plantae,Tracheophyta,Magnoliopsida
3541378,6/28/16,2016-06-28 22:43:34 UTC,research,36.0159568303,-78.9000800718,,Liriodendron tulipifera,tulip tree,Plantae,53582,Plantae,Tracheophyta,Magnoliopsida
3541382,6/28/16,2016-06-28 22:45:00 UTC,research,36.0167421727,-78.900030451,,Liquidambar styraciflua,American sweetgum,Plantae,49658,Plantae,Tracheophyta,Magnoliopsida
3541394,6/28/16,2016-06-28 22:45:45 UTC,research,36.0171123175,-78.9001084865,,Wisteria sinensis,Chinese wisteria,Plantae,127306,Plantae,Tracheophyta,Magnoliopsida
3541620,6/28/16,2016-06-29 00:43:06 UTC,research,36.0286722612,-78.8982803096,,Prunella vulgaris,common selfheal,Plantae,52764,Plantae,Tracheophyta,Magnoliopsida
3541700,6/28/16,2016-06-29 00:45:11 UTC,research,36.0288619437,-78.8998069056,,Acer rubrum,red maple,Plantae,48098,Plantae,Tracheophyta,Magnoliopsida
3541759,6/28/16,2016-06-29 00:58:19 UTC,research,36.0259909323,-78.900795132,,Asclepias syriaca,common milkweed,Plantae,47911,Plantae,Tracheophyta,Magnoliopsida
3634569,7/6/16,2016-07-06 22:43:18 UTC,research,36.0298647546,-78.8949868084,,Elaeagnus umbellata,autumn olive,Plantae,64697,Plantae,Tracheophyta,Magnoliopsida
3634580,7/6/16,2016-07-06 22:46:20 UTC,research,36.0296601523,-78.8959255815,,Microstegium vimineum,Japanese stiltgrass,Plantae,116710,Plantae,Tracheophyta,Liliopsida
3658010,7/10/16,2016-07-10 23:00:38 UTC,research,36.06045736,-78.8167539798,,Microstegium vimineum,Japanese stiltgrass,Plantae,116710,Plantae,Tracheophyta,Liliopsida
3658019,7/10/16,2016-07-10 23:05:07 UTC,research,36.0605216911,-78.8150899206,,Sassafras albidum,sassafras,Plantae,54795,Plantae,Tracheophyta,Magnoliopsida
3658024,7/10/16,2016-07-10 23:07:53 UTC,research,36.0609382717,-78.8145447616,,Passiflora lutea,yellow passionflower,Plantae,51450,Plantae,Tracheophyta,Magnoliopsida
3658046,7/10/16,2016-07-10 23:08:39 UTC,research,36.060820967,-78.8141168655,,Impatiens capensis,common jewelweed,Plantae,47888,Plantae,Tracheophyta,Magnoliopsida
3658055,7/10/16,2016-07-10 23:11:13 UTC,research,36.0610247311,-78.813153701,,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278,Plantae,Tracheophyta,Magnoliopsida
3658060,7/10/16,2016-07-10 23:17:57 UTC,research,36.0613594205,-78.8107407187,,Parthenium integrifolium,wild quinine,Plantae,83893,Plantae,Tracheophyta,Magnoliopsida
3658064,7/10/16,2016-07-10 23:19:06 UTC,research,36.0615476361,-78.8108793554,,Cercis canadensis,eastern redbud,Plantae,48502,Plantae,Tracheophyta,Magnoliopsida
3658069,7/10/16,2016-07-10 23:20:14 UTC,research,36.0616164934,-78.8109287248,,Cornus florida,flowering dogwood,Plantae,54777,Plantae,Tracheophyta,Magnoliopsida
3658075,7/10/16,2016-07-10 23:21:34 UTC,research,36.0618288908,-78.8110975363,,Hexastylis arifolia,little brown jug,Plantae,122183,Plantae,Tracheophyta,Magnoliopsida
3658082,7/10/16,2016-07-10 23:23:49 UTC,research,36.0623479821,-78.8110317384,,Daucus carota,wild carrot,Plantae,76610,Plantae,Tracheophyta,Magnoliopsida
3658085,7/10/16,2016-07-10 23:24:43 UTC,research,36.0623664642,-78.8110180759,,Xylocopa virginica,Eastern Carpenter Bee,Insecta,51110,Animalia,Arthropoda,Insecta
3658089,7/10/16,2016-07-10 23:25:42 UTC,research,36.0623664642,-78.8110180759,,Prunella vulgaris,common selfheal,Plantae,52764,Plantae,Tracheophyta,Magnoliopsida
3658103,7/10/16,2016-07-10 23:27:02 UTC,research,36.0624535103,-78.8109978755,,Papilio glaucus,Eastern Tiger Swallowtail,Insecta,60551,Animalia,Arthropoda,Insecta
3658118,7/10/16,2016-07-10 23:28:25 UTC,research,36.0625071964,-78.8110210095,,Pandion haliaetus,Osprey,Aves,116999,Animalia,Chordata,Aves
3658121,7/10/16,2016-07-10 23:29:11 UTC,research,36.0626678774,-78.8110245299,,Sabatia angularis,Rosepink,Plantae,84666,Plantae,Tracheophyta,Magnoliopsida
3658125,7/10/16,2016-07-10 23:30:08 UTC,research,36.0628961586,-78.8107864839,,Lespedeza cuneata,Chinese bushclover,Plantae,164566,Plantae,Tracheophyta,Magnoliopsida
3658138,7/10/16,2016-07-10 23:31:55 UTC,research,36.062927465,-78.810630329,,Ambrosia artemisiifolia,common ragweed,Plantae,53587,Plantae,Tracheophyta,Magnoliopsida
3658142,7/10/16,2016-07-10 23:32:38 UTC,research,36.0630276287,-78.8105284051,,Phytolacca americana,American pokeweed,Plantae,48599,Plantae,Tracheophyta,Magnoliopsida
3658148,7/10/16,2016-07-10 23:35:07 UTC,research,36.0634540161,-78.8102527243,,Liriodendron tulipifera,tulip tree,Plantae,53582,Plantae,Tracheophyta,Magnoliopsida
3658150,7/10/16,2016-07-10 23:35:36 UTC,research,36.0634540161,-78.8102527243,,Toxicodendron radicans,poison ivy,Plantae,58732,Plantae,Tracheophyta,Magnoliopsida
3658169,7/10/16,2016-07-10 23:37:37 UTC,research,36.0640174896,-78.8103034348,,Ligustrum sinense,Chinese privet,Plantae,128769,Plantae,Tracheophyta,Magnoliopsida
3658191,7/10/16,2016-07-10 23:40:07 UTC,research,36.0646603396,-78.8103155886,,Smilax rotundifolia,roundleaf greenbrier,Plantae,60746,Plantae,Tracheophyta,Liliopsida
3658201,7/10/16,2016-07-10 23:44:50 UTC,research,36.0614504479,-78.810730409,,Libellula cyanea,Spangled Skimmer,Insecta,104575,Animalia,Arthropoda,Insecta
3658231,7/10/16,2016-07-10 23:55:26 UTC,research,36.0604057694,-78.8166245633,,Elaeagnus umbellata,autumn olive,Plantae,64697,Plantae,Tracheophyta,Magnoliopsida
3665926,7/12/16,2016-07-12 16:15:56 UTC,research,36.0019888496,-78.9018807561,,Xenox tigrinus,Tiger Bee Fly,Insecta,133799,Animalia,Arthropoda,Insecta
3821337,8/3/16,2016-08-03 11:41:57 UTC,research,36.0053888833,-78.8995283333,,Laetiporus sulphureus,chicken of the woods,Fungi,53713,Fungi,Basidiomycota,Agaricomycetes
3835542,8/8/16,2016-08-08 13:41:52 UTC,research,36.01815,-78.8888333333,,Pachydiplax longipennis,Blue Dasher,Insecta,59774,Animalia,Arthropoda,Insecta
4008458,8/31/16,2016-08-31 19:19:00 UTC,research,36.002276,-78.90179,,Sphecius speciosus,Eastern Cicada-killer Wasp,Insecta,51954,Animalia,Arthropoda,Insecta
4189166,9/24/16,2016-09-24 13:28:29 UTC,research,36.0730482778,-78.7988719438,,Microstegium vimineum,Japanese stiltgrass,Plantae,116710,Plantae,Tracheophyta,Liliopsida
4189191,9/24/16,2016-09-24 13:29:45 UTC,research,36.0731147882,-78.7989477162,,Lonicera japonica,Japanese honeysuckle,Plantae,77835,Plantae,Tracheophyta,Magnoliopsida
4189386,9/24/16,2016-09-24 13:36:59 UTC,research,36.0730229644,-78.7987359893,,Rosa multiflora,multiflora rose,Plantae,78882,Plantae,Tracheophyta,Magnoliopsida
4190514,9/24/16,2016-09-24 15:27:33 UTC,research,36.0763252247,-78.8140567672,,Helenium amarum,Bitterweed,Plantae,77348,Plantae,Tracheophyta,Magnoliopsida
4190542,9/24/16,2016-09-24 15:28:44 UTC,research,36.0762578342,-78.8140409254,,Campsis radicans,American trumpet vine,Plantae,75995,Plantae,Tracheophyta,Magnoliopsida
4190600,9/24/16,2016-09-24 15:31:16 UTC,research,36.0762708262,-78.8141130098,,Junonia coenia,Common Buckeye,Insecta,48505,Animalia,Arthropoda,Insecta
4194111,9/24/16,2016-09-24 20:36:02 UTC,research,36.0095111167,-78.9197616667,,Urbanus proteus,Long-tailed Skipper,Insecta,67435,Animalia,Arthropoda,Insecta
4194463,9/24/16,2016-09-24 15:37:18 UTC,research,36.0756813269,-78.8141091541,,Eupatorium capillifolium,dogfennel,Plantae,131154,Plantae,Tracheophyta,Magnoliopsida
4208086,9/26/16,2016-09-26 18:30:26 UTC,research,36.0020411527,-78.9005920385,,Ipomoea lacunosa,White Morning-glory,Plantae,135262,Plantae,Tracheophyta,Magnoliopsida
4248793,10/1/16,2016-10-01 21:42:29 UTC,research,36.0841785651,-78.8187347074,,Odontotaenius disjunctus,Horned Passalus Beetle,Insecta,122214,Animalia,Arthropoda,Insecta
4248806,10/1/16,2016-10-01 21:50:46 UTC,research,36.0807195213,-78.8183533308,,Euonymus americanus,strawberry bush,Plantae,83150,Plantae,Tracheophyta,Magnoliopsida
4249865,10/1/16,2016-10-02 02:42:31 UTC,research,36.0076354863,-78.9143895731,,Vireo olivaceus,Red-eyed Vireo,Aves,891704,Animalia,Chordata,Aves
4517435,11/8/16,2016-11-08 14:41:22 UTC,research,36.0072212219,-78.9155578613,,Thryothorus ludovicianus,Carolina Wren,Aves,7513,Animalia,Chordata,Aves
4575813,11/8/16,2016-11-08 20:47:08 UTC,research,36.0039,-78.9011383333,,Papilio polyxenes,Black Swallowtail,Insecta,58523,Animalia,Arthropoda,Insecta
4601610,10/27/16,2016-10-27 17:14:10 UTC,research,36.0067134328,-78.8533506158,,Euonymus americanus,strawberry bush,Plantae,83150,Plantae,Tracheophyta,Magnoliopsida
4791123,12/18/16,2016-12-18 18:40:02 UTC,research,36.0302528333,-78.9149366667,,Anolis carolinensis,Green Anole,Reptilia,36514,Animalia,Chordata,Reptilia
5003686,1/24/17,2017-01-25 03:14:00 UTC,research,36.0056739965,-78.8527453336,,Haldea striatula,Rough Earthsnake,Reptilia,539765,Animalia,Chordata,Reptilia
5069415,2/7/17,2017-02-07 19:21:32 UTC,research,36.0044798655,-78.9012280103,,Foeniculum vulgare,fennel,Plantae,53052,Plantae,Tracheophyta,Magnoliopsida
5096281,2/12/17,2017-02-12 16:33:09 UTC,research,36.0604957072,-78.8153581415,,Asplenium platyneuron,ebony spleenwort,Plantae,122056,Plantae,Tracheophyta,Polypodiopsida
5102470,2/13/17,2017-02-13 16:10:36 UTC,research,36.0042433595,-78.9010787066,,Taraxacum officinale,common dandelion,Plantae,47602,Plantae,Tracheophyta,Magnoliopsida
5129227,2/12/17,2017-02-12 17:25:15 UTC,research,36.0708831484,-78.8012963255,,Acris crepitans,Northern Cricket Frog,Amphibia,24230,Animalia,Chordata,Amphibia
5136656,2/19/17,2017-02-19 20:29:20 UTC,research,36.080526989,-78.8152754959,,Tipularia discolor,crane-fly orchid,Plantae,121490,Plantae,Tracheophyta,Liliopsida
5136681,2/19/17,2017-02-19 20:30:39 UTC,research,36.0804888932,-78.8151628432,,Tipularia discolor,crane-fly orchid,Plantae,121490,Plantae,Tracheophyta,Liliopsida
5137080,2/19/17,2017-02-19 20:32:18 UTC,research,36.080584866,-78.8150060178,,Trachemys scripta,Common Slider,Reptilia,39782,Animalia,Chordata,Reptilia
